Trial Trove ID,NSCLC,citeline,Cancer_type,Histology,Stage,Stage,Stage_or_status,brain met,Age,BodyWeight(kg),ECOG,previous LOT indicator,previous LOT drug,Treatment-naïve,Previous radio/chemo-therapy,Previous targeted therapy,Previous IO-therapy,Treatment- resistancy,Surgery,Neo/Adjuvant therapy (4x),NGS/IHC/FISH,other_biomarker,Blood-test (normal organ function)-check list,Life expectancy,Contraception,HIV,Interstitial lung disesase,pneumonitis,previous therapy Toxicity recovery
198766,"squamouse cell lung cancer, biopsy or fine-needel aspiration, >=20% tumor cells or >=0.2mm3",198766,NSCLC,Squamous cell,Stage IV or recurrent,"IV, recurrent",IV; recurrent,No,>=18,,0-1,null,,,,,,at progression on prior treatment or pre-screened prior to progression on current treatment,-,,No known EGFR/ALK fusion mutations,,"sub-study cirteria-AST, ALT, NAC, platelets, Hg, Creatinine clearance, bilirubin,",,Yes,No,NO,NO,
273941,"NSCLC (measurable,RECIST 1.1. CT or MRI)",273941,NSCLC,,Llocally advanced or metastic,"III, IV","III, IV",,>=12,,0-2,null,,,No longer respond,,,,-,,,,"AST, ALT, NAC, platelets, Hg, Creatinine clearance, bilirubin, ",,-,,,,
312791,NSCLC,312791,NSCLC,,"Stage II-III (T>5cm, N2)","II, III","II, III",,>=18,,0-1,null,,,cisplatin based chemo for subjects with chemo adjuvant therapy,No neoadjuvant tx,,,Completely resected,"Bubjects with no AT: <70d, with chemo: <182, with chemo+radio: <259",,,"AST, ALT, NAC, platelets, Hg, Creatinine clearance, bilirubin, ",< 5 years,Yes,,,,"Grade=1, exception alopecia, neuropathy Grade 2 or less"
353655,NSCLC (histology),353655,NSCLC,,Locally advanced-stage III,III,III,,>=18,,0-1,No,,Yes. Newly diagnosed,,,,,,,,,-,,Yes,,,,
261816,NSCLC (no 2 synchronous primary NSCLC),261816,NSCLC,,Stage IB-IIIA,IB-IIIA,"IB, II, IIIA",,>=18,,0-1,null,,-,,"No neoadjuvant radop, chemo therapy",less than 4cycle of previous  IO adjuvant ,,"Completely resected, available tumor sample at surgery for PD-1 IHC","Wiith/without adjuvant chemo, no radio adjuvant therapy",,,Adequate organ function,-,Yes,,,,"Grade=1, exception alopecia, neuropathy Grade 2 or less"
211726,"Only NSCLC (exclude large cell NEC SCLC, carcinoid, no 2 synchronous primary NSCLC)",211726,NSCLC,"not (large cell NEC, carcinoid)",Stage IB (>=4cm)-IIIA,IB-IIIA,"IB, II, IIIA",,>=18,,0-1,null,,-,,"No neoadjuvant radio, chemo therapy",,,"Completely resected such as lobectomy, bilobectomy. Wedge resection or segmentectomies are not eligible","Only adjucant chemo is permissible, N2 case radio adjuvant therapy permissible",PD-1 positive,,"Adequate organ function, AST, ALT, NAC, platelets, Hg, Creatinine clearance, bilirubin, AP",-,Yes,,,,"Grade=1, exception alopecia, neuropathy Grade 2 or less"
283479,NSCLC (histology),283479,NSCLC,,Stage IV,IV,IV,,>=18,,,Yes,no Nivolumab,"No, 2nd line therapy study",,,No previous Nivo (+Ipilimumab) treatment,,,,,,-,,-,,,,
315452,"NSCLC (measurable, CT or MRI)",315452,NSCLC,,Stage IIIB or IIIC,IIIB-IIIC,"IIIB, IIIC",,>=18,,0-1,No,,"Yes, 1st line therapy study",,,,,,," Positive for EGFR mut, ALK translocation, ROS1 fusion, for part 1PD-1<50% IHC,",,,,-,,,,
284644,"NSCLC (histology)(measurable,REIST 1.1. CT or MRI)",284644,NSCLC,,Stage IV or recurrent,"IV, recurrent",IV; recurrent,,>=18,,0-2,null,,Both 1st and 2nd line study,Permited (>6M),Permited (>6M),,,,Permited (>6M),"PD-L1 IHC, no EGFR, ALK targeted therapy",,"AST, ALT, WBC, NAC, platelets, Hg, Creatinine clearance, bilirubin, ",,Yes,,,,
337030,"NSCLC (histology)(measurable,REIST 1.1. CT or MRI)",337030,NSCLC,,"Stage III locally advanced, unresectable",III,III,,>=18,,1-1,No,,Yes. Newly diagnosed,,,,,unresectable tumor,,"EGFR, ALK status needed",,"Adequate organ function, AST, ALT, NAC, platelets, Hg, Creatinine clearance, bilirubin, AP",,Yes,,,,
305121,"NSCLC (histology)(measurable,REIST 1.1. CT or MRI)",305121,NSCLC,,Stage IV or recurrent,"IV, recurrent",IV; recurrent,,>=18,,0-1,No,,"Yes, 1st line therapy study, no prior systemic therapy",,,,,,,PD-L1 testing needed,,,,,,,,
